case,sequence_length,gqa_group,selection_pattern,provider,route,status,batch_repetitions,median_wall_ms,min_wall_ms,max_wall_ms,median_cuda_event_ms,branch_query_tokens_per_second,extra_peak_allocated_bytes
n8192_g1_recent,8192,1,recent,fsa,fsa_specialized,measured,21,4.948865571426116,4.770546476189945,5.703695952379782,5.397691272553944,1655328.859061999,85634048
n8192_g4_random,8192,4,random,fla,,not_timed,,,,,,,
n8192_g4_random,8192,4,random,nsa,nsa_triton_forward,measured,14,7.089236357143948,6.836127571432371,8.27869764285489,7.723604474748884,1155554.644717802,34078720
n8192_g4_random,8192,4,random,fsa,fsa_specialized,measured,12,8.352024166659552,7.954361166658448,9.426710499989591,9.109469095865885,980840.0737993129,203580416
n8192_g4_recent,8192,4,recent,fla,,not_timed,,,,,,,
n8192_g4_recent,8192,4,recent,nsa,nsa_triton_forward,measured,14,7.0937647857200705,6.772097571423989,7.939767000006474,7.728153228759766,1154816.976239571,34078720
n8192_g4_recent,8192,4,recent,fsa,fsa_specialized,measured,14,8.180234928577843,7.9330810000003895,8.807715928566852,8.922215053013392,1001438.2314841662,136489984
n8192_g8_random,8192,8,random,fla,,not_timed,,,,,,,
n8192_g8_random,8192,8,random,nsa,nsa_triton_forward,measured,14,7.29370142857988,7.010794142859465,8.267916999995707,7.948820386614118,1123160.8642355716,68157440
n8192_g8_random,8192,8,random,fsa,fsa_specialized,measured,10,13.993386800007102,12.258849700015162,16.051877599988984,15.263395690917969,585419.3925373264,271737856
n8192_g8_recent,8192,8,recent,fla,,not_timed,,,,,,,
n8192_g8_recent,8192,8,recent,nsa,nsa_triton_forward,measured,15,7.27268493333213,7.015207466656648,8.1609773333336,7.924426778157552,1126406.5575636956,68157440
n8192_g8_recent,8192,8,recent,fsa,fsa_specialized,measured,10,13.429890600014005,12.526024299995697,14.454610899997533,14.64886016845703,609982.6308333038,204909568
n8192_g16_random,8192,16,random,nsa,nsa_triton_forward,measured,14,8.506908428574077,8.0166581428622,8.689438928578445,8.622164590018135,962982.0361629471,136314880
n8192_g16_random,8192,16,random,fla,fla_selected_forward,measured,15,7.522137200006303,7.039233799999541,7.909969800008791,7.623016357421875,1089052.191176882,136314880
n8192_g16_random,8192,16,random,fsa,fsa_nsa_fallback,measured,12,8.392556166673634,8.152210916667476,9.801144166677508,8.498984018961588,976103.0891315293,136314880
n8192_g16_recent,8192,16,recent,nsa,nsa_triton_forward,measured,13,8.033227538450005,7.521320769228623,8.324145538468796,8.561664287860577,1019764.4671198532,136314880
n8192_g16_recent,8192,16,recent,fla,fla_selected_forward,measured,14,7.030511928568168,6.501083571427963,7.630214571414789,7.611154283796038,1165206.7563831557,136314880
n8192_g16_recent,8192,16,recent,fsa,fsa_nsa_fallback,measured,13,7.84998469230931,7.428783692305912,8.969119692315312,8.553922213040865,1043568.9139656241,136314880
n16384_g1_random,16384,1,random,fla,,not_timed,,,,,,,
n16384_g1_random,16384,1,random,nsa,nsa_triton_forward,measured,10,14.149127899986524,13.312900500000069,15.476837700020951,15.418003845214844,1157951.2260975183,17039360
n16384_g1_random,16384,1,random,fsa,fsa_specialized,measured,14,7.286827357136515,6.294559857142953,8.705031071437068,7.941135951450893,2248440.809284986,409633792
n16384_g1_recent,16384,1,recent,fla,,not_timed,,,,,,,
n16384_g1_recent,16384,1,recent,nsa,nsa_triton_forward,measured,10,14.14507480001248,13.309527000001253,16.099270399990928,15.416744995117188,1158283.0230056855,17039360
n16384_g1_recent,16384,1,recent,fsa,fsa_specialized,measured,17,6.466586705875991,5.923039529400686,7.823356823524485,7.0455021577722885,2533639.576055225,230147072
n16384_g4_random,16384,4,random,fla,,not_timed,,,,,,,
n16384_g4_random,16384,4,random,nsa,nsa_triton_forward,measured,10,15.205718600009277,14.3253975999869,17.029501600018193,16.56923828125,1077489.3598247967,68157440
n16384_g4_random,16384,4,random,fsa,fsa_specialized,measured,10,13.373852400013675,12.241656399987733,13.865631500016207,14.586175537109375,1225077.076518599,510991360
n16384_g4_recent,16384,4,recent,fla,,not_timed,,,,,,,
